date,position,song,artist,popularity,duration_ms,album_type,total_tracks,is_explicit,album_cover_url
19-05-2024,3,un x100to,Grupo Frontera & Bad Bunny,100,194563,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273716c0b0ad51594ff788b5f06
19-05-2024,4,Kill Bill,SZA,94,153946,album,23,FALSE,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5
19-05-2024,5,See You Again (feat. Kali Uchis),"Tyler, The Creator",94,180386,album,14,TRUE,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3
19-05-2024,6,All My Life (feat. J. Cole),Lil Durk & J. Cole,85,223878,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2737c173b0dc64913d4635e3594
19-05-2024,7,Cupid - Twin Ver.,FIFTY FIFTY,98,174253,single,3,FALSE,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb
19-05-2024,8,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2,TRUE,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
19-05-2024,9,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,96,131013,single,2,FALSE,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7
19-05-2024,10,MATHEMATICAL DISRESPECT,Lil Mabu,84,88304,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273a56e7dc625146a33a712bef4
19-05-2024,11,Search & Rescue,Drake,91,272112,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273cace8a4b2ff924c9e12e3a96
19-05-2024,12,Area Codes,Kali,84,139325,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27333a8cd9ae03bc913e6e5af11
19-05-2024,13,PRC,Peso Pluma & Natanael Cano,96,184066,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2737be314e2f66a9f7ee732395e
19-05-2024,14,Flowers,Miley Cyrus,91,200600,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46
19-05-2024,15,Fast Car,Luke Combs,89,265493,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1
19-05-2024,16,You Proof,Morgan Wallen,86,157477,album,36,FALSE,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
19-05-2024,17,SLUT ME OUT,NLE Choppa,75,123672,album,22,TRUE,https://i.scdn.co/image/ab67616d0000b273e61ba4af2bb90a4d414da1dc
19-05-2024,18,Cruel Summer,Taylor Swift,92,178426,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
19-05-2024,19,Daylight,David Kushner,97,212953,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
19-05-2024,20,Anti-Hero,Taylor Swift,94,200690,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
19-05-2024,21,No Role Modelz,J. Cole,90,292799,album,13,TRUE,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8
19-05-2024,22,AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,95,174942,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273fbf10e7799f39fbcd301e55a
19-05-2024,23,Por las Noches,Peso Pluma,93,239845,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273427d9aa38866b43ed45f6b0c
19-05-2024,24,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,221520,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
19-05-2024,25,El Azul,Junior H & Peso Pluma,95,187225,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27333ed356efed99b158c4267c6
19-05-2024,26,Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,90,182666,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
19-05-2024,27,Thinkin’ Bout Me,Morgan Wallen,87,177387,album,36,FALSE,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
19-05-2024,28,Something in the Orange,Zach Bryan,88,228013,single,4,FALSE,https://i.scdn.co/image/ab67616d0000b273b2b6670e3aca9bcd55fbabbb
19-05-2024,29,Wasted On You,Morgan Wallen,86,178520,album,30,FALSE,https://i.scdn.co/image/ab67616d0000b2737d6813fd233f3bc4977cceca
19-05-2024,30,Moonlight,Kali Uchis,87,187723,album,15,FALSE,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17
19-05-2024,31,golden hour,JVKE,91,209259,album,12,FALSE,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954
19-05-2024,32,As It Was,Harry Styles,92,167303,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
19-05-2024,33,Die For You,The Weeknd,91,260253,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a
19-05-2024,34,El Gordo Trae El Mando,Chino Pacas,92,112087,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2733240b79491b0714245a4ec02
19-05-2024,35,Karma,Taylor Swift,88,204852,album,13,TRUE,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
19-05-2024,36,Sure Thing,Miguel,91,195373,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b273d5a8395b0d80b8c48a5d851c
19-05-2024,37,Just Wanna Rock,Lil Uzi Vert,90,123890,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2730e34fd68e8ff04e4515eb72a
19-05-2024,38,Trance (with Travis Scott & Young Thug),Metro Boomin,90,194786,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
19-05-2024,39,Rich Flex,Drake & 21 Savage,90,239359,album,16,TRUE,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
19-05-2024,40,Calm Down (with Selena Gomez),Rema,79,239317,album,22,FALSE,https://i.scdn.co/image/ab67616d0000b273963265801aa5c9740ad159b7
19-05-2024,41,Bad Habit,Steve Lacy,85,232066,album,10,TRUE,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee
19-05-2024,42,Money Trees,Kendrick Lamar,84,386906,album,13,TRUE,https://i.scdn.co/image/ab67616d0000b273d28d2ebdedb220e479743797
19-05-2024,43,Snooze,SZA,92,201800,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
19-05-2024,44,Jimmy Cooks (feat. 21 Savage),Drake,89,218364,album,14,TRUE,https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37
19-05-2024,45,Chemical,Post Malone,90,184013,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273f76f8deeba5370c98ad38f1c
19-05-2024,46,Watch This - ARIZONATEARS Pluggnb Remix,Lil Uzi Vert & sped up nightcore & ARIZONATEARS,89,163139,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2731e28b92ccb915b5307a7eb02
19-05-2024,47,Romantic Homicide,d4vd,91,132630,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273bd1a52b3d5903ee01c216da0
19-05-2024,48,One Thing At A Time,Morgan Wallen,83,206864,album,36,FALSE,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
19-05-2024,49,Princess Diana (with Nicki Minaj),Ice Spice & Nicki Minaj,87,172125,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2735dd17b2860b2a79d9dda8ec3
19-05-2024,50,Favorite Song,Toosii,86,208630,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273083c41df2fbc4cf8c54c7858
20-05-2024,1,Ella Baila Sola,Eslabon Armado,90,165671,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b273dfddf1cb31b85a6d28b7d91f
20-05-2024,2,Last Night,Morgan Wallen,89,163854,album,36,TRUE,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
20-05-2024,3,All My Life (feat. J. Cole),Lil Durk & J. Cole,86,223878,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2737c173b0dc64913d4635e3594
20-05-2024,4,un x100to,Grupo Frontera & Bad Bunny,100,194563,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273716c0b0ad51594ff788b5f06
20-05-2024,5,Kill Bill,SZA,94,153946,album,23,FALSE,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5
20-05-2024,6,See You Again (feat. Kali Uchis),"Tyler, The Creator",94,180386,album,14,TRUE,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3
20-05-2024,7,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2,TRUE,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
20-05-2024,8,Cupid - Twin Ver.,FIFTY FIFTY,98,174253,single,3,FALSE,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb
20-05-2024,9,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,96,131013,single,2,FALSE,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7
20-05-2024,10,MATHEMATICAL DISRESPECT,Lil Mabu,85,88304,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273a56e7dc625146a33a712bef4
20-05-2024,11,Search & Rescue,Drake,91,272112,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273cace8a4b2ff924c9e12e3a96
20-05-2024,12,Area Codes,Kali,84,139325,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27333a8cd9ae03bc913e6e5af11
20-05-2024,13,PRC,Peso Pluma & Natanael Cano,96,184066,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2737be314e2f66a9f7ee732395e
20-05-2024,14,Flowers,Miley Cyrus,91,200600,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46
20-05-2024,15,You Proof,Morgan Wallen,86,157477,album,36,FALSE,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
20-05-2024,16,Fast Car,Luke Combs,89,265493,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1
20-05-2024,17,Daylight,David Kushner,97,212953,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
20-05-2024,18,SLUT ME OUT,NLE Choppa,75,123672,album,22,TRUE,https://i.scdn.co/image/ab67616d0000b273e61ba4af2bb90a4d414da1dc
20-05-2024,19,Cruel Summer,Taylor Swift,92,178426,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
20-05-2024,20,Anti-Hero,Taylor Swift,94,200690,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
20-05-2024,21,Por las Noches,Peso Pluma,93,239845,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273427d9aa38866b43ed45f6b0c
20-05-2024,22,AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,95,174942,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273fbf10e7799f39fbcd301e55a
20-05-2024,23,No Role Modelz,J. Cole,90,292799,album,13,TRUE,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8
20-05-2024,24,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,221520,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
20-05-2024,25,Thinkin’ Bout Me,Morgan Wallen,87,177387,album,36,FALSE,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
20-05-2024,26,Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,90,182666,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
20-05-2024,27,El Azul,Junior H & Peso Pluma,95,187225,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27333ed356efed99b158c4267c6
20-05-2024,28,Wasted On You,Morgan Wallen,86,178520,album,30,FALSE,https://i.scdn.co/image/ab67616d0000b2737d6813fd233f3bc4977cceca
20-05-2024,29,Something in the Orange,Zach Bryan,88,228013,single,4,FALSE,https://i.scdn.co/image/ab67616d0000b273b2b6670e3aca9bcd55fbabbb
20-05-2024,30,Moonlight,Kali Uchis,87,187723,album,15,FALSE,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17
20-05-2024,31,golden hour,JVKE,90,209259,album,12,FALSE,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954
20-05-2024,32,As It Was,Harry Styles,92,167303,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
20-05-2024,33,El Gordo Trae El Mando,Chino Pacas,92,112087,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2733240b79491b0714245a4ec02
20-05-2024,34,Karma,Taylor Swift,88,204852,album,13,TRUE,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
20-05-2024,35,Just Wanna Rock,Lil Uzi Vert,90,123890,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2730e34fd68e8ff04e4515eb72a
20-05-2024,36,Die For You,The Weeknd,91,260253,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a
20-05-2024,37,Sure Thing,Miguel,91,195373,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b273d5a8395b0d80b8c48a5d851c
20-05-2024,38,Trance (with Travis Scott & Young Thug),Metro Boomin,90,194786,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
20-05-2024,39,Calm Down (with Selena Gomez),Rema,79,239317,album,22,FALSE,https://i.scdn.co/image/ab67616d0000b273963265801aa5c9740ad159b7
20-05-2024,40,Bad Habit,Steve Lacy,85,232066,album,10,TRUE,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee
20-05-2024,41,Rich Flex,Drake & 21 Savage,90,239359,album,16,TRUE,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
20-05-2024,42,Money Trees,Kendrick Lamar,84,386906,album,13,TRUE,https://i.scdn.co/image/ab67616d0000b273d28d2ebdedb220e479743797
20-05-2024,43,Snooze,SZA,92,201800,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
20-05-2024,44,Jimmy Cooks (feat. 21 Savage),Drake,89,218364,album,14,TRUE,https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37
20-05-2024,45,Chemical,Post Malone,90,184013,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273f76f8deeba5370c98ad38f1c
20-05-2024,46,Romantic Homicide,d4vd,91,132630,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273bd1a52b3d5903ee01c216da0
20-05-2024,47,Watch This - ARIZONATEARS Pluggnb Remix,Lil Uzi Vert & sped up nightcore & ARIZONATEARS,89,163139,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2731e28b92ccb915b5307a7eb02
20-05-2024,48,One Thing At A Time,Morgan Wallen,83,206864,album,36,FALSE,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
20-05-2024,49,Princess Diana (with Nicki Minaj),Ice Spice & Nicki Minaj,87,172125,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2735dd17b2860b2a79d9dda8ec3
20-05-2024,50,Favorite Song,Toosii,86,208630,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273083c41df2fbc4cf8c54c7858
21-05-2024,1,WHERE SHE GOES,Bad Bunny,82,231704,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1
21-05-2024,2,Ella Baila Sola,Eslabon Armado,90,165671,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b273dfddf1cb31b85a6d28b7d91f
21-05-2024,3,Last Night,Morgan Wallen,89,163854,album,36,TRUE,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
21-05-2024,4,un x100to,Grupo Frontera & Bad Bunny,100,194563,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273716c0b0ad51594ff788b5f06
21-05-2024,5,All My Life (feat. J. Cole),Lil Durk & J. Cole,87,223878,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2737c173b0dc64913d4635e3594
21-05-2024,6,Kill Bill,SZA,94,153946,album,23,FALSE,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5
21-05-2024,7,See You Again (feat. Kali Uchis),"Tyler, The Creator",94,180386,album,14,TRUE,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3
21-05-2024,8,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2,TRUE,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
21-05-2024,9,Mourning,Post Malone,73,147819,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2736e9e05bbdd7988ae66e0b898
21-05-2024,10,Say Yes To Heaven,Lana Del Rey,77,209156,single,2,FALSE,https://i.scdn.co/image/ab67616d0000b273aa27708d07f49c82ff0d0dae
21-05-2024,11,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,96,131013,single,2,FALSE,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7
21-05-2024,12,Cupid - Twin Ver.,FIFTY FIFTY,98,174253,single,3,FALSE,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb
21-05-2024,13,MATHEMATICAL DISRESPECT,Lil Mabu,86,88304,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273a56e7dc625146a33a712bef4
21-05-2024,14,Search & Rescue,Drake,91,272112,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273cace8a4b2ff924c9e12e3a96
21-05-2024,15,PRC,Peso Pluma & Natanael Cano,96,184066,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2737be314e2f66a9f7ee732395e
21-05-2024,16,Area Codes,Kali,84,139325,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27333a8cd9ae03bc913e6e5af11
21-05-2024,17,Fast Car,Luke Combs,89,265493,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1
21-05-2024,18,Flowers,Miley Cyrus,91,200600,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46
21-05-2024,19,Cruel Summer,Taylor Swift,92,178426,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
21-05-2024,20,You Proof,Morgan Wallen,86,157477,album,36,FALSE,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
21-05-2024,21,Por las Noches,Peso Pluma,93,239845,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273427d9aa38866b43ed45f6b0c
21-05-2024,22,Anti-Hero,Taylor Swift,94,200690,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
21-05-2024,23,AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,95,174942,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273fbf10e7799f39fbcd301e55a
